state_fips,district_number,district_name
01,01,Congressional District 1, Alabama
01,02,Congressional District 2, Alabama
01,03,Congressional District 3, Alabama
01,04,Congressional District 4, Alabama
01,05,Congressional District 5, Alabama
01,06,Congressional District 6, Alabama
01,07,Congressional District 7, Alabama
06,01,Congressional District 1, California
06,02,Congressional District 2, California
06,03,Congressional District 3, California
06,04,Congressional District 4, California
06,05,Congressional District 5, California
06,06,Congressional District 6, California
06,07,Congressional District 7, California
06,08,Congressional District 8, California
06,10,Congressional District 10, California
06,11,Congressional District 11, California
06,13,Congressional District 13, California
06,15,Congressional District 15, California
06,17,Congressional District 17, California
06,19,Congressional District 19, California
06,20,Congressional District 20, California
06,22,Congressional District 22, California
06,24,Congressional District 24, California
06,26,Congressional District 26, California
06,28,Congressional District 28, California
06,29,Congressional District 29, California
06,31,Congressional District 31, California
06,33,Congressional District 33, California
06,35,Congressional District 35, California
06,37,Congressional District 37, California
26,03,Congressional District 3, Michigan
26,05,Congressional District 5, Michigan
26,07,Congressional District 7, Michigan
26,09,Congressional District 9, Michigan
26,10,Congressional District 10, Michigan
26,12,Congressional District 12, Michigan
26,14,Congressional District 14, Michigan
28,01,Congressional District 1, Mississippi
28,03,Congressional District 3, Mississippi
28,04,Congressional District 4, Mississippi
35,02,Congressional District 2, New Mexico
38,00,Congressional District (at Large), North Dakota
04,02,Congressional District 2, Arizona
04,04,Congressional District 4, Arizona
04,05,Congressional District 5, Arizona
04,07,Congressional District 7, Arizona
04,09,Congressional District 9, Arizona
20,02,Congressional District 2, Kansas
20,04,Congressional District 4, Kansas
21,01,Congressional District 1, Kentucky
21,03,Congressional District 3, Kentucky
21,05,Congressional District 5, Kentucky
23,01,Congressional District 1, Maine
27,01,Congressional District 1, Minnesota
27,02,Congressional District 2, Minnesota
27,04,Congressional District 4, Minnesota
27,06,Congressional District 6, Minnesota
27,08,Congressional District 8, Minnesota
29,01,Congressional District 1, Missouri
29,02,Congressional District 2, Missouri
29,03,Congressional District 3, Missouri
29,04,Congressional District 4, Missouri
29,05,Congressional District 5, Missouri
29,06,Congressional District 6, Missouri
29,07,Congressional District 7, Missouri
29,08,Congressional District 8, Missouri
12,01,Congressional District 1, Florida
12,02,Congressional District 2, Florida
12,03,Congressional District 3, Florida
12,04,Congressional District 4, Florida
12,05,Congressional District 5, Florida
12,06,Congressional District 6, Florida
12,07,Congressional District 7, Florida
12,08,Congressional District 8, Florida
12,09,Congressional District 9, Florida
12,11,Congressional District 11, Florida
12,13,Congressional District 13, Florida
12,15,Congressional District 15, Florida
12,16,Congressional District 16, Florida
12,18,Congressional District 18, Florida
12,20,Congressional District 20, Florida
12,22,Congressional District 22, Florida
12,23,Congressional District 23, Florida
12,25,Congressional District 25, Florida
12,27,Congressional District 27, Florida
06,38,Congressional District 38, California
06,40,Congressional District 40, California
06,42,Congressional District 42, California
06,44,Congressional District 44, California
06,46,Congressional District 46, California
06,47,Congressional District 47, California
06,49,Congressional District 49, California
06,51,Congressional District 51, California
06,53,Congressional District 53, California
05,02,Congressional District 2, Arkansas
05,03,Congressional District 3, Arkansas
09,01,Congressional District 1, Connecticut
09,03,Congressional District 3, Connecticut
09,05,Congressional District 5, Connecticut
11,98,Delegate District (at Large), District of Columbia
02,00,Congressional District (at Large), Alaska
08,02,Congressional District 2, Colorado
08,04,Congressional District 4, Colorado
08,06,Congressional District 6, Colorado
10,00,Congressional District (at Large), Delaware
30,00,Congressional District (at Large), Montana
13,02,Congressional District 2, Georgia
13,04,Congressional District 4, Georgia
13,06,Congressional District 6, Georgia
13,08,Congressional District 8, Georgia
13,10,Congressional District 10, Georgia
13,11,Congressional District 11, Georgia
13,12,Congressional District 12, Georgia
13,13,Congressional District 13, Georgia
13,14,Congressional District 14, Georgia
15,01,Congressional District 1, Hawaii
15,02,Congressional District 2, Hawaii
16,01,Congressional District 1, Idaho
16,02,Congressional District 2, Idaho
17,01,Congressional District 1, Illinois
17,02,Congressional District 2, Illinois
17,03,Congressional District 3, Illinois
17,04,Congressional District 4, Illinois
17,05,Congressional District 5, Illinois
17,06,Congressional District 6, Illinois
17,07,Congressional District 7, Illinois
17,08,Congressional District 8, Illinois
17,10,Congressional District 10, Illinois
17,12,Congressional District 12, Illinois
17,14,Congressional District 14, Illinois
17,16,Congressional District 16, Illinois
17,18,Congressional District 18, Illinois
17,ZZ,Congressional Districts not defined, Illinois
19,02,Congressional District 2, Iowa
19,04,Congressional District 4, Iowa
24,02,Congressional District 2, Maryland
24,04,Congressional District 4, Maryland
24,06,Congressional District 6, Maryland
24,07,Congressional District 7, Maryland
26,01,Congressional District 1, Michigan
31,03,Congressional District 3, Nebraska
32,02,Congressional District 2, Nevada
32,04,Congressional District 4, Nevada
33,02,Congressional District 2, New Hampshire
22,01,Congressional District 1, Louisiana
22,03,Congressional District 3, Louisiana
22,05,Congressional District 5, Louisiana
